continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,health_expenditure,private_health_percent,medical_doctors_per10k,nursing_midwifery_per10k,TOTAL_VACCINATIONS_PER100,PERSONS_FULLY_VACCINATED_PER100,cumulative_estimated_daily_excess_deaths
Asia,Myanmar,612914.0,19434.0,11183.335,354.596,,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,0.9,67.13,0.583,60.02,75.96,7.37,10.82,98.788,42.022,163869.011306327
Africa,Namibia,158811.0,4025.0,61379.932,1555.649,,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,,63.71,0.646,427.3,48.45,5.9,19.54,32.853,15.57,10620.5855766147
Asia,Nepal,978836.0,11951.0,32985.295,402.731,,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,0.3,70.78,0.602,53.25,63.28,8.52,33.42,152.996,66.907,116517.679993832
Europe,Netherlands,8145444.0,22363.0,474314.297,1302.211,,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,3.32,82.28,0.944,5335.0,34.07,40.79,116.4,205.8,71.244,34426.7372414165
Oceania,New Zealand,952697.0,731.0,185844.956,142.598,,5126300.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,2.61,82.29,0.931,4211.0,24.44,36.18,117.8,227.955,84.069,-1499.66795058927
North America,Nicaragua,18491.0,234.0,2758.871,34.913,,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,0.9,74.48,0.66,160.8,36.35,16.65,15.52,156.651,70.509,18908.9773570204
Africa,Niger,8943.0,309.0,355.858,12.296,,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,0.3,62.42,0.394,31.4,49.06,0.35,2.23,11.123,6.4,71859.8978950519
Africa,Nigeria,255753.0,3143.0,1209.802,14.868,,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,71.47,71.3,3.81,15.01,18.628,7.231,253912.919305836
Europe,Norway,1426491.0,2932.0,260993.017,536.443,,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,3.6,82.4,0.957,8007.0,14.18,50.47,184.2,210.2,75.188,2856.65345606182
Asia,Oman,389126.0,4258.0,74497.03,815.182,52.78,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813,624.7,13.56,17.74,39.38,137.666,59.293,4631.99020068756
Asia,Pakistan,1527956.0,30369.0,6784.887,134.854,70.37,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,0.6,67.27,0.557,39.5,60.92,11.18,4.83,114.397,54.403,876802.669309331
Oceania,Palau,4610.0,6.0,253659.073,330.142,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,4.8,73.7,0.826,2356.0,28.66,17.68,64.64,259.634,99.082,9.43401318495833
North America,Panama,777658.0,8185.0,177483.343,1868.046,,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,2.3,78.51,0.815,1193.0,33.79,16.32,32.06,186.744,71.251,8734.2818234923
Oceania,Papua New Guinea,43821.0,650.0,4805.458,71.28,,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,64.5,0.555,65.08,9.92,0.66,4.53,4.931,2.951,-888.341991987927
South America,Paraguay,649455.0,18870.0,89956.689,2613.703,26.85,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,388.4,53.99,10.52,16.6,120.694,47.284,24320.2810499683
South America,Peru,3566523.0,212865.0,106912.037,6380.957,,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,1.6,76.74,0.777,370.1,36.91,13.69,29.77,218.247,81.448,219898.643930976
Asia,Philippines,3686082.0,60410.0,33193.918,544.004,,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,1.0,71.23,0.718,142.1,58.99,7.73,54.44,133.099,62.11,330815.191377092
Europe,Poland,5996935.0,116059.0,158661.666,3070.588,,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,1014.0,28.56,37.71,68.66,142.9,59.085,185586.955495557
Europe,Portugal,3853800.0,22280.0,379015.459,2191.205,11.11,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864,2221.0,39.02,54.84,74.1,230.7,85.669,25091.2379094619
Asia,Qatar,364728.0,677.0,124458.288,231.017,,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,1.2,80.23,0.848,1807.0,27.24,24.85,71.97,234.136,90.63,748.886663789539
Europe,Romania,2894896.0,65496.0,151345.175,3424.131,,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,6.892,76.05,0.828,738.6,19.86,29.81,73.89,82.7,41.958,130450.230252869
Africa,Rwanda,129834.0,1459.0,9779.221,109.893,35.19,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,,69.02,0.543,51.4,26.26,1.18,9.48,155.507,64.704,27993.5606777635
North America,Saint Kitts and Nevis,5566.0,43.0,103948.007,803.048,,53546.0,212.865,,,,24654.385,,,12.84,,,2.3,76.23,0.779,1088.0,50.74,27.67,42.19,109.735,50.102,73.1881402463543
North America,Saint Lucia,23459.0,368.0,127217.314,1995.651,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,1.3,76.2,0.759,502.2,51.56,6.41,31.55,65.135,29.147,724.503707899889
North America,Saint Vincent and the Grenadines,8419.0,106.0,75663.482,952.646,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,2.6,72.53,0.738,354.8,32.14,9.41,70.15,63.356,27.431,162.967746043476
Oceania,Samoa,9592.0,19.0,47925.494,94.932,,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,73.32,0.715,271.9,10.82,6.0,32.66,153.665,66.039,34.8539282020288
Europe,San Marino,16476.0,115.0,484445.751,3381.358,,34010.0,556.667,,,,56861.47,,,5.64,,,3.8,84.97,,3051.0,17.78,61.09,82.07,203.8,68.569,142.789900332717
Africa,Sao Tome and Principe,5964.0,73.0,26700.811,326.821,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,2.9,70.39,0.625,108.5,19.22,4.88,21.49,95.208,39.658,232.9133748746
Asia,Saudi Arabia,754238.0,9093.0,21341.921,257.296,,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,2.7,75.13,0.854,1316.0,30.83,27.38,58.17,184.444,71.122,87233.4806621587
Africa,Senegal,85838.0,1988.0,4991.653,115.606,21.3,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,,67.94,0.512,59.1,57.03,0.88,5.4,14.749,6.245,14153.5184868281
Europe,Serbia,2007091.0,16002.0,292087.211,2328.733,,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,5.609,76.0,0.806,641.0,40.01,31.13,60.86,96.7,47.781,61513.6177104587
Africa,Seychelles,42548.0,166.0,430168.84,1678.293,,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,839.8,27.27,22.52,229.5,204.501,81.809,-46.3932005522456
Africa,Sierra Leone,7681.0,125.0,943.456,15.354,,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,,54.7,0.452,46.16,56.01,0.74,7.53,35.966,16.495,3662.28791449824
Asia,Singapore,1200976.0,1338.0,220217.104,245.343,,5453600.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,2.4,83.62,0.938,2633.0,49.8,24.6,62.43,238.692,85.128,1184.00016655398
Europe,Slovakia,2528216.0,19879.0,463954.988,3648.012,,5449270.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,1342.0,21.18,35.65,60.55,129.4,50.744,28388.5973574997
Europe,Slovenia,1010785.0,6595.0,486252.858,3172.621,,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,4.5,81.32,0.917,2219.0,27.63,32.77,104.6,141.0,57.636,6033.26324099713
Oceania,Solomon Islands,15677.0,141.0,22268.624,200.286,,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,1.4,73.0,0.567,111.9,3.44,1.94,21.64,57.275,20.458,668.358846206361
Africa,South Africa,3798413.0,100370.0,63262.604,1671.663,37.96,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,2.32,64.13,0.709,546.7,40.14,7.92,49.74,58.813,32.633,258140.065681652
Africa,South Sudan,17483.0,138.0,1536.106,12.125,,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,57.85,0.433,22.64,28.73,0.37,3.4,6.182,5.358,38242.1913321175
